name,album,Attribute,Value
So It Goes...,reputation,danceability,0.574
So It Goes...,reputation,duration_ms,227906
So It Goes...,reputation,popularity,69
So It Goes...,reputation,tempo,74.957
This Is Why We Can't Have Nice Things,reputation,danceability,0.567
This Is Why We Can't Have Nice Things,reputation,duration_ms,207133
This Is Why We Can't Have Nice Things,reputation,popularity,70
This Is Why We Can't Have Nice Things,reputation,tempo,163.96
Back To December,Speak Now,danceability,0.517
Back To December,Speak Now,duration_ms,293040
Back To December,Speak Now,popularity,62
Back To December,Speak Now,tempo,141.929
Better Than Revenge,Speak Now,danceability,0.519
Better Than Revenge,Speak Now,duration_ms,217173
Better Than Revenge,Speak Now,popularity,54
Better Than Revenge,Speak Now,tempo,145.882
Dear John,Speak Now,danceability,0.583
Dear John,Speak Now,duration_ms,403933
Dear John,Speak Now,popularity,46
Dear John,Speak Now,tempo,119.375
Enchanted,Speak Now,danceability,0.535
Enchanted,Speak Now,duration_ms,352200
Enchanted,Speak Now,popularity,71
Enchanted,Speak Now,tempo,81.975
Haunted,Speak Now,danceability,0.434
Haunted,Speak Now,duration_ms,242093
Haunted,Speak Now,popularity,47
Haunted,Speak Now,tempo,162.02
Innocent,Speak Now,danceability,0.553
Innocent,Speak Now,duration_ms,302266
Innocent,Speak Now,popularity,38
Innocent,Speak Now,tempo,133.989
Last Kiss,Speak Now,danceability,0.359
Last Kiss,Speak Now,duration_ms,367146
Last Kiss,Speak Now,popularity,49
Last Kiss,Speak Now,tempo,84.358
Long Live,Speak Now,danceability,0.412
Long Live,Speak Now,duration_ms,317960
Long Live,Speak Now,popularity,51
Long Live,Speak Now,tempo,203.959
Mean,Speak Now,danceability,0.57
Mean,Speak Now,duration_ms,237746
Mean,Speak Now,popularity,51
Mean,Speak Now,tempo,164.004
Mine - POP Mix,Speak Now,danceability,0.696
Mine - POP Mix,Speak Now,duration_ms,230546
Mine - POP Mix,Speak Now,popularity,42
Mine - POP Mix,Speak Now,tempo,121.05
Never Grow Up,Speak Now,danceability,0.715
Never Grow Up,Speak Now,duration_ms,290480
Never Grow Up,Speak Now,popularity,48
Never Grow Up,Speak Now,tempo,124.899
Sparks Fly,Speak Now,danceability,0.608
Sparks Fly,Speak Now,duration_ms,260946
Sparks Fly,Speak Now,popularity,53
Sparks Fly,Speak Now,tempo,114.985
Speak Now,Speak Now,danceability,0.708
Speak Now,Speak Now,duration_ms,240773
Speak Now,Speak Now,popularity,50
Speak Now,Speak Now,tempo,118.962
The Story Of Us,Speak Now,danceability,0.575
The Story Of Us,Speak Now,duration_ms,265680
The Story Of Us,Speak Now,popularity,48
The Story Of Us,Speak Now,tempo,139.92
A Perfectly Good Heart,Taylor Swift (Deluxe Edition),danceability,0.483
A Perfectly Good Heart,Taylor Swift (Deluxe Edition),duration_ms,220146
A Perfectly Good Heart,Taylor Swift (Deluxe Edition),popularity,53
A Perfectly Good Heart,Taylor Swift (Deluxe Edition),tempo,156.092
A Place in this World,Taylor Swift (Deluxe Edition),danceability,0.576
A Place in this World,Taylor Swift (Deluxe Edition),duration_ms,199200
A Place in this World,Taylor Swift (Deluxe Edition),popularity,55
A Place in this World,Taylor Swift (Deluxe Edition),tempo,115.028
Cold As You,Taylor Swift (Deluxe Edition),danceability,0.418
Cold As You,Taylor Swift (Deluxe Edition),duration_ms,239013
Cold As You,Taylor Swift (Deluxe Edition),popularity,55
Cold As You,Taylor Swift (Deluxe Edition),tempo,175.558
I'm Only Me When I'm With You,Taylor Swift (Deluxe Edition),danceability,0.563
I'm Only Me When I'm With You,Taylor Swift (Deluxe Edition),duration_ms,213053
I'm Only Me When I'm With You,Taylor Swift (Deluxe Edition),popularity,56
I'm Only Me When I'm With You,Taylor Swift (Deluxe Edition),tempo,143.964
Invisible,Taylor Swift (Deluxe Edition),danceability,0.612
Invisible,Taylor Swift (Deluxe Edition),duration_ms,203226
Invisible,Taylor Swift (Deluxe Edition),popularity,54
Invisible,Taylor Swift (Deluxe Edition),tempo,96.001
Mary's Song (Oh My My My),Taylor Swift (Deluxe Edition),danceability,0.403
Mary's Song (Oh My My My),Taylor Swift (Deluxe Edition),duration_ms,213080
Mary's Song (Oh My My My),Taylor Swift (Deluxe Edition),popularity,57
Mary's Song (Oh My My My),Taylor Swift (Deluxe Edition),tempo,74.9
Our Song,Taylor Swift (Deluxe Edition),danceability,0.668
Our Song,Taylor Swift (Deluxe Edition),duration_ms,201106
Our Song,Taylor Swift (Deluxe Edition),popularity,64
Our Song,Taylor Swift (Deluxe Edition),tempo,89.011
Picture To Burn,Taylor Swift (Deluxe Edition),danceability,0.658
Picture To Burn,Taylor Swift (Deluxe Edition),duration_ms,173066
Picture To Burn,Taylor Swift (Deluxe Edition),popularity,61
Picture To Burn,Taylor Swift (Deluxe Edition),tempo,105.586
Should've Said No,Taylor Swift (Deluxe Edition),danceability,0.476
Should've Said No,Taylor Swift (Deluxe Edition),duration_ms,242200
Should've Said No,Taylor Swift (Deluxe Edition),popularity,60
Should've Said No,Taylor Swift (Deluxe Edition),tempo,167.964
Stay Beautiful,Taylor Swift (Deluxe Edition),danceability,0.594
Stay Beautiful,Taylor Swift (Deluxe Edition),duration_ms,236053
Stay Beautiful,Taylor Swift (Deluxe Edition),popularity,53
Stay Beautiful,Taylor Swift (Deluxe Edition),tempo,131.597
Teardrops on My Guitar - Pop Version,Taylor Swift (Deluxe Edition),danceability,0.459
Teardrops on My Guitar - Pop Version,Taylor Swift (Deluxe Edition),duration_ms,179066
Teardrops on My Guitar - Pop Version,Taylor Swift (Deluxe Edition),popularity,55
Teardrops on My Guitar - Pop Version,Taylor Swift (Deluxe Edition),tempo,199.997
Teardrops On My Guitar - Radio Single Remix,Taylor Swift (Deluxe Edition),danceability,0.621
Teardrops On My Guitar - Radio Single Remix,Taylor Swift (Deluxe Edition),duration_ms,203040
Teardrops On My Guitar - Radio Single Remix,Taylor Swift (Deluxe Edition),popularity,63
Teardrops On My Guitar - Radio Single Remix,Taylor Swift (Deluxe Edition),tempo,99.953
The Outside,Taylor Swift (Deluxe Edition),danceability,0.589
The Outside,Taylor Swift (Deluxe Edition),duration_ms,207106
The Outside,Taylor Swift (Deluxe Edition),popularity,54
The Outside,Taylor Swift (Deluxe Edition),tempo,112.982
Tied Together with a Smile,Taylor Swift (Deluxe Edition),danceability,0.479
Tied Together with a Smile,Taylor Swift (Deluxe Edition),duration_ms,248106
Tied Together with a Smile,Taylor Swift (Deluxe Edition),popularity,54
Tied Together with a Smile,Taylor Swift (Deluxe Edition),tempo,146.165
Tim McGraw,Taylor Swift (Deluxe Edition),danceability,0.58
Tim McGraw,Taylor Swift (Deluxe Edition),duration_ms,232106
Tim McGraw,Taylor Swift (Deluxe Edition),popularity,56
Tim McGraw,Taylor Swift (Deluxe Edition),tempo,76.009
But Daddy I Love Him,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.521
But Daddy I Love Him,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,340428
But Daddy I Love Him,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,81
But Daddy I Love Him,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,79.943
Cassandra,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.587
Cassandra,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,240205
Cassandra,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,76
Cassandra,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,139.963
Chloe or Sam or Sophia or Marcus,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.516
Chloe or Sam or Sophia or Marcus,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,213281
Chloe or Sam or Sophia or Marcus,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,77
Chloe or Sam or Sophia or Marcus,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,70.266
Clara Bow,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.686
Clara Bow,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,216662
Clara Bow,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,76
Clara Bow,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,104.088
Down Bad,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.541
Down Bad,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,261228
Down Bad,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,82
Down Bad,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,159.707
Florida!!! (feat. Florence + The Machine),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.533
Florida!!! (feat. Florence + The Machine),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,215463
Florida!!! (feat. Florence + The Machine),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,79
Florida!!! (feat. Florence + The Machine),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,150.088
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.504
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,228965
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,82
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,192.004
Fresh Out The Slammer,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.33
Fresh Out The Slammer,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,210789
Fresh Out The Slammer,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,78
Fresh Out The Slammer,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,87.115
Guilty as Sin?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.626
Guilty as Sin?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,254365
Guilty as Sin?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,82
Guilty as Sin?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,94.95
How Did It End?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.492
How Did It End?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,238706
How Did It End?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,80
How Did It End?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,83.993
I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.701
I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,218004
I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,82
I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,129.994
I Can Fix Him (No Really I Can),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.661
I Can Fix Him (No Really I Can),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,156297
I Can Fix Him (No Really I Can),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,77
I Can Fix Him (No Really I Can),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,106.896
I Hate It Here,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.485
I Hate It Here,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,243875
I Hate It Here,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,78
I Hate It Here,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,105.953
I Look in People's Windows,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.763
I Look in People's Windows,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,131907
I Look in People's Windows,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,76
I Look in People's Windows,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,90.796
imgonnagetyouback,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.784
imgonnagetyouback,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,222072
imgonnagetyouback,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,81
imgonnagetyouback,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,110.007
loml,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.423
loml,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,277156
loml,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,80
loml,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,78.539
My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.596
My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,203801
My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,80
My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,97.073
Peter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.342
Peter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,283957
Peter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,77
Peter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,176.859
Robin,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.476
Robin,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,240893
Robin,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,73
Robin,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,138.265
So High School,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.366
So High School,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,228800
So High School,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,82
So High School,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,176.07
"So Long, London",THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.423
"So Long, London",THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,262974
"So Long, London",THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,80
"So Long, London",THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,160.218
thanK you aIMee,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.609
thanK you aIMee,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,263817
thanK you aIMee,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,76
thanK you aIMee,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,95.997
The Albatross,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.352
The Albatross,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,183878
The Albatross,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,77
The Albatross,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,172.013
The Alchemy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.64
The Alchemy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,196900
The Alchemy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,78
The Alchemy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,100.056
The Black Dog,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.527
The Black Dog,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,238857
The Black Dog,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,79
The Black Dog,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,154.042
The Bolter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.455
The Bolter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,238241
The Bolter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,77
The Bolter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,183.694
The Manuscript,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.509
The Manuscript,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,224743
The Manuscript,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,74
The Manuscript,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,94.184
The Prophecy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.421
The Prophecy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,249807
The Prophecy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,81
The Prophecy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,167.927
The Smallest Man Who Ever Lived,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.426
The Smallest Man Who Ever Lived,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,245541
The Smallest Man Who Ever Lived,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,81
The Smallest Man Who Ever Lived,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,142.377
The Tortured Poets Department,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.604
The Tortured Poets Department,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,293048
The Tortured Poets Department,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,79
The Tortured Poets Department,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,110.259
Who’s Afraid of Little Old Me?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.606
Who’s Afraid of Little Old Me?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,334084
Who’s Afraid of Little Old Me?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,81
Who’s Afraid of Little Old Me?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,119.88