Grow_up,Books,Movies,Music_album,Video_games,Tacos,R,More_employable,Communicate
Outside of Texas,5,8,Memories by Maroon 5,Yes,0,Never heard of it/complete newbie,Somewhat agree,Somewhat agree
Outside of Texas,8,14,Memoirs of a Geisha (Remastered),No,0,"Other, specify",Somewhat agree,Strongly agree
In Texas,10,10,Paul Simon - Still Crazy After All These Years,Yes,1,Never heard of it/complete newbie,Strongly agree,Strongly agree
In Texas,6,5,Starship Syncopation,Yes,0,"I have a little experience with it, but not too much.",Strongly agree,Strongly agree
Outside of Texas,5,5,n/a,No,0,Never heard of it/complete newbie,Strongly agree,Strongly agree
In Texas,6,5,17 Is Right Here,No,2,Never heard of it/complete newbie,Somewhat agree,Strongly agree
In Texas,5,2,Moon River and Other Great Movie Themes by Andy Williams,No,5,Never heard of it/complete newbie,Strongly agree,Strongly agree
In Texas,7,4,Short n Sweet by Sabrina Carpenter ,No,0,Never heard of it/complete newbie,Somewhat agree,Strongly agree
In Texas,10,10,Modern Mirror,Yes,0,Never heard of it/complete newbie,Somewhat agree,Strongly agree
In Texas,8,20,Neon Pill ,No,0,Never heard of it/complete newbie,Strongly agree,Strongly agree
In Texas,2,15,Short and Sweet - Sabrina Carpenter,Yes,15,Never heard of it/complete newbie,Somewhat agree,Somewhat agree
In Texas,7,10,Short n' Sweet by Sabrina Carpenter,No,0,Never heard of it/complete newbie,Strongly agree,Strongly agree
In Texas,4,8,Bando Stone and The New World - Childish Gambino,No,0,Never heard of it/complete newbie,Strongly agree,Strongly agree
In Texas,2,4,Grenade by Bruno Mars,Yes,0,Never heard of it/complete newbie,Strongly agree,Strongly agree
In Texas,2,4,Starboy by The Weeknd,Yes,0,Never heard of it/complete newbie,Strongly agree,Strongly agree
In Texas,0,4,0.1 flaws and all - wave to earth,Yes,0,"I have a little experience with it, but not too much.",Somewhat agree,Strongly agree
In Texas,5,8,21 Savage's American Dream,Yes,0,Never heard of it/complete newbie,Strongly agree,Strongly agree
In Texas,7,30,This is How Tomorrow Moves by Beabadoobee,Yes,2,Never heard of it/complete newbie,Somewhat agree,Strongly agree
Outside of Texas,5,10,Red (Taylor's Version),Yes,1,Never heard of it/complete newbie,Strongly agree,Strongly agree
In Texas,16,10,Bewitched - Laufey,No,5,"I have a little experience with it, but not too much.",Strongly agree,Strongly agree
Outside of Texas,3,15,Crash My Party by Luke Bryan,No,0,Never heard of it/complete newbie,Strongly agree,Somewhat agree
In Texas,3,3,Unorthodox Jukebox - Bruno Mars,Yes,0,Never heard of it/complete newbie,Strongly agree,Strongly agree
In Texas,1,4,Sabrina Carpenter- Short N' Sweet,Yes,0,"I have a little experience with it, but not too much.",Strongly agree,Strongly agree
Outside of Texas,0,20,I am > I was,Yes,0,"I have a little experience with it, but not too much.",Strongly agree,Strongly agree
In Texas,6,10,Halo,Yes,0,"I have a little experience with it, but not too much.",Strongly agree,Strongly agree
In Texas,3,10,Vultures 2,Yes,0,Never heard of it/complete newbie,Strongly agree,Strongly agree
In Texas,5,20,Days Before Rodeo - Travis Scott,Yes,2,Never heard of it/complete newbie,Strongly agree,Strongly agree
Outside of Texas,0,,,Yes,,Never heard of it/complete newbie,Somewhat agree,Somewhat agree
Outside of Texas,2,20,Radio by Lana Del Rey,No,3,Never heard of it/complete newbie,Somewhat agree,Somewhat agree
In Texas,10,20,born to die,No,1,"I have a little experience with it, but not too much.",Strongly agree,Strongly agree
In Texas,1,11,Born to die,Yes,12,"I have a little experience with it, but not too much.",Strongly agree,Strongly agree
Outside of Texas,2,30,Days Before Rodeo - Travis Scott,Yes,2,Never heard of it/complete newbie,Strongly agree,Strongly agree
Outside of Texas,10,100,Stick Season by Noah Kahan,No,4,Never heard of it/complete newbie,Strongly agree,Strongly agree
Outside of Texas,10,4,Chopin: Scherzos,Yes,0,Never heard of it/complete newbie,Somewhat agree,Somewhat agree
Outside of Texas,10,20,,No,0,Never heard of it/complete newbie,Strongly agree,Strongly agree
Outside of Texas,5,8,the off season by j cole,Yes,0,"I have a little experience with it, but not too much.",Strongly agree,Somewhat agree
Outside of Texas,1,15,Regresa - Camila,No,0,Never heard of it/complete newbie,Strongly agree,Strongly agree
In Texas,1,10,Blonde - Frank Ocean,Yes,0,Never heard of it/complete newbie,Strongly agree,Strongly agree
Outside of Texas,1,8,None,Yes,0,"I have a little experience with it, but not too much.",Strongly agree,Somewhat agree
In Texas,6,12,Stick Season by Noah Kahan,No,8,Never heard of it/complete newbie,Strongly agree,Strongly agree
Outside of Texas,8,20,Wave -- Patti Smith,No,2,Never heard of it/complete newbie,Strongly agree,Strongly agree
Outside of Texas,3,30,Never mind - Nirvana,Yes,2,Never heard of it/complete newbie,Strongly agree,Somewhat agree
In Texas,2,6,morning phase - beck,No,0,Never heard of it/complete newbie,Neither agree nor disagree,Somewhat agree
Outside of Texas,5,10,Hardstone Psycho,Yes,0,"I have a little experience with it, but not too much.",Strongly agree,Strongly agree
In Texas,4,6,N/A,Yes,0,Never heard of it/complete newbie,Somewhat agree,Strongly agree