Country,numSharkAttacks
USA,1640
Australia,706
Republic of South Africa,262
Brazil,114
New Zealand,58
Papua New Guinea,48
Mascarene Islands (Reunion Island),47
Mexico,42
Bahama Islands,34
Iran,23
Fiji Islands,23
Egypt,26
New Caledonia,22
Japan,15
Greece,15
India,14
Italy,13
Cuba,13
Hong Kong,13
Ecuador,14
Mozambique,11
Indonesia,11
Philippines,11
Puerto Rico,11
Solomon Islands,11
Vietnam,10
Panama,10
Marshall Islands,8
Iraq,8
Kiribati,8
Costa Rica,8
French Polynesia,7
Kenya,6
Canary Islands,7
Spain,6
France,5
Libya,5
Malta,5
Croatia,5
Saudi Arabia,5
Federated States of Micronesia,4
Seychelles,5
Venezuela,4
Argentina,4
American Samoa,4
Haiti,4
Sri Lanka,4
Tonga,4
Thailand,5
Tanzania,4
Singapore,4
Madagascar,3
Russia,3
US Virgin Islands,3
United Kingdom,3
Jamaica,3
Bermuda Island,3
Taiwan,3
Tunisia,3
Somalia,3
Dominican Republic,3
El Salvador,2
Cayman Islands,2
Wake Island,2
Maldives,2
Yemen,2
Vanuatu,2
Nicaragua,2
Turks and Caicos Islands,3
Sudan,2
Guam,2
Israel,2
Senegal,1
Antigua and Barbuda,1
Uruguay,1
British Indian Ocean Territory,1
South Korea,1
Cape Verde,1
Sierra Leone,1
Malaysia,2
Colombia,2
Republic of Finland,1
Pakistan,1
Cyprus,1
Djibouti,1
Nigeria,1
Namibia,1
Liberia,1
China,1