Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Indiana Fever,Caitlin Clark,22,40,40,1416,242,580,0.417,122,355,0.344,120,225,0.533,163,180,0.906,14,213,227,337,53,27,223,111,769
Indiana Fever,Kelsey Mitchell,28,40,38,1280,282,602,0.468,109,271,0.402,173,331,0.523,94,113,0.832,27,72,99,71,27,7,64,63,767
Indiana Fever,Aliyah Boston,22,40,40,1236,236,446,0.529,7,26,0.269,229,420,0.545,81,110,0.736,111,244,355,126,35,49,79,130,560
Indiana Fever,NaLyssa Smith,23,40,37,993,168,350,0.48,14,48,0.292,154,302,0.51,72,127,0.567,72,213,285,41,30,39,52,107,422
Indiana Fever,Katie Lou Samuelson,27,37,15,672,51,146,0.349,33,100,0.33,18,46,0.391,24,25,0.96,17,68,85,51,12,9,18,53,159
Indiana Fever,Lexie Hull,24,34,11,671,60,136,0.441,33,70,0.471,27,66,0.409,33,41,0.805,33,51,84,36,22,11,29,85,186
Indiana Fever,Erica Wheeler,33,39,2,546,58,141,0.411,15,52,0.288,43,89,0.483,11,13,0.846,7,46,53,69,17,4,35,45,142
Indiana Fever,Kristy Wallace,28,26,15,446,47,117,0.402,17,58,0.293,30,59,0.508,12,18,0.667,11,37,48,45,18,6,17,29,123
Indiana Fever,Temi Fagbenle,31,22,2,415,58,114,0.509,2,12,0.167,56,102,0.549,22,28,0.786,31,73,104,20,11,15,27,66,140
Indiana Fever,Damiris Dantas,31,20,0,210,34,74,0.459,13,33,0.394,21,41,0.512,8,12,0.667,4,39,43,12,5,5,12,20,89
Indiana Fever,Grace Berger,25,11,0,102,10,25,0.4,2,5,0.4,8,20,0.4,9,14,0.643,4,11,15,7,5,0,10,12,31
Indiana Fever,Victaria Saxton,24,9,0,23,3,9,0.333,1,4,0.25,2,5,0.4,1,2,0.5,0,3,3,0,0,0,1,4,8
Indiana Fever,Celeste Taylor,23,5,0,16,1,1,1,0,0,,1,1,1,1,2,0.5,0,1,1,1,0,1,1,1,3
Dallas Wings,Arike Ogunbowale,27,38,38,1466,279,729,0.383,112,324,0.346,167,405,0.412,175,190,0.921,29,144,173,195,81,11,103,107,845
Dallas Wings,Teaira McCowan,27,39,38,987,184,323,0.57,1,4,0.25,183,319,0.574,89,124,0.718,112,202,314,61,35,34,78,117,458
Dallas Wings,Jacy Sheldon,23,40,26,931,81,210,0.386,30,97,0.309,51,113,0.451,25,27,0.926,27,55,82,99,23,12,63,101,217
Dallas Wings,Natasha Howard,32,27,26,825,187,410,0.456,11,55,0.2,176,355,0.496,89,124,0.718,53,129,182,78,34,21,76,85,474
Dallas Wings,Sevgi Uzun,26,40,19,820,68,199,0.342,20,84,0.238,48,115,0.417,19,23,0.826,9,56,65,119,37,11,73,60,175
Dallas Wings,Maddy Siegrist,24,27,13,644,106,210,0.505,10,37,0.27,96,173,0.555,33,43,0.767,43,47,90,27,10,10,15,33,255
Dallas Wings,Monique Billings,28,24,12,609,84,177,0.475,1,7,0.143,83,170,0.488,41,51,0.804,45,114,159,46,15,13,51,59,210
Dallas Wings,Kalani Brown,27,38,2,512,92,158,0.582,0,3,0,92,155,0.594,39,59,0.661,43,76,119,41,6,22,46,63,223
Dallas Wings,Satou Sabally,26,15,15,512,89,209,0.426,38,84,0.452,51,125,0.408,53,68,0.779,18,78,96,75,19,8,37,48,269
Dallas Wings,Odyssey Sims,31,9,7,305,61,114,0.535,16,32,0.5,45,82,0.549,17,26,0.654,11,15,26,50,15,4,16,15,155
Dallas Wings,Stephanie Soares,24,22,3,175,10,34,0.294,2,12,0.167,8,22,0.364,2,2,1,18,29,47,10,2,8,12,18,24
Dallas Wings,Jaelyn Brown,25,14,1,141,15,31,0.484,6,12,0.5,9,19,0.474,1,3,0.333,7,14,21,6,4,4,12,16,37
Dallas Wings,Lou Lopez Sénéchal,26,27,0,125,10,34,0.294,3,15,0.2,7,19,0.368,2,4,0.5,3,8,11,10,3,0,6,13,25
Dallas Wings,Morgan Bertsch,27,3,0,22,0,3,0,0,1,0,0,2,0,1,2,0.5,1,4,5,0,1,0,4,4,1
Los Angeles Sparks,Dearica Hamby,30,40,40,1346,268,523,0.512,30,88,0.341,238,435,0.547,125,198,0.631,61,307,368,139,68,8,118,110,691
Los Angeles Sparks,Rickea Jackson,23,40,35,1152,200,439,0.456,43,124,0.347,157,315,0.498,92,114,0.807,51,104,155,59,27,14,76,70,535
Los Angeles Sparks,Kia Nurse,28,40,27,810,102,263,0.388,53,160,0.331,49,103,0.476,46,58,0.793,17,47,64,53,19,1,49,72,303
Los Angeles Sparks,Stephanie Talbot,30,37,10,600,49,124,0.395,13,50,0.26,36,74,0.486,20,29,0.69,21,80,101,76,19,17,37,51,131
Los Angeles Sparks,Rae Burrell,24,37,7,579,59,163,0.362,24,72,0.333,35,91,0.385,78,100,0.78,21,47,68,42,29,11,37,59,220
Los Angeles Sparks,Aari McDonald,25,26,10,568,77,191,0.403,29,91,0.319,48,100,0.48,43,51,0.843,12,40,52,96,23,6,48,52,226
Los Angeles Sparks,Li Yueru,25,38,2,546,68,147,0.463,4,15,0.267,64,132,0.485,53,59,0.898,55,85,140,22,12,9,33,80,193
Los Angeles Sparks,Azura Stevens,28,20,19,493,71,178,0.399,28,80,0.35,43,98,0.439,22,27,0.815,20,120,140,38,17,18,36,39,192
Los Angeles Sparks,Odyssey Sims,31,15,10,395,56,128,0.438,4,26,0.154,52,102,0.51,31,37,0.838,6,19,25,77,13,1,36,21,147
Los Angeles Sparks,Lexie Brown,29,16,8,379,42,131,0.321,21,69,0.304,21,62,0.339,24,27,0.889,1,36,37,53,17,2,31,22,129
Los Angeles Sparks,Layshia Clarendon,33,21,12,335,32,75,0.427,7,20,0.35,25,55,0.455,20,23,0.87,6,32,38,54,15,1,25,44,91
Los Angeles Sparks,Cameron Brink,22,15,15,330,41,103,0.398,10,31,0.323,31,72,0.431,21,25,0.84,18,62,80,25,16,34,34,60,113
Los Angeles Sparks,Zia Cooke,23,29,0,257,36,112,0.321,11,37,0.297,25,75,0.333,20,29,0.69,3,15,18,17,9,3,21,22,103
Los Angeles Sparks,Crystal Dangerfield,26,18,5,230,22,77,0.286,12,39,0.308,10,38,0.263,4,6,0.667,1,17,18,36,7,3,17,12,60
Los Angeles Sparks,Queen Egbo,24,2,0,4,1,1,1,0,0,,1,1,1,0,0,,1,2,3,0,1,0,0,1,2